Top pages,Clicks,Impressions,CTR,Position
https://www.leathercompany.co.uk/gift-accessories-c8/cleaning-products-c40/collonil-waterstop-waterproofing-spray-p231,77,7407,1.04%,21.94
https://www.leathercompany.co.uk/ladies-c3/fur-coats-c77/mink-coat-brown-imola-p1417,76,28135,0.27%,19.13
https://www.leathercompany.co.uk/mens-c4/trapper-mens-nappa-leather-jacket-black-jason-p5794,76,16427,0.46%,6.99
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/womens-classic-suede-sheepskin-slippers-purple-fen-ladies-p4042,74,18073,0.41%,23.58
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/sheepskin-coat-brown-hektor-p806,69,65623,0.11%,7.69
https://www.leathercompany.co.uk/mens-c4/mens-waistcoats-c58/four-pocket-sleeveless-leather-biker-jacket-black-crusader-p976,69,15825,0.44%,12.83
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/purple-t10,69,3971,1.74%,11.47
https://www.leathercompany.co.uk/gift-accessories-c8/mens-leather-belts-c50/xxl-t20,68,8398,0.81%,25.15
https://www.leathercompany.co.uk/home-living-c65/leather-cushions-c69,68,5738,1.19%,13.21
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-rugs-c57/ashwood-m1,68,4326,1.57%,59.85
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/the-bridge-m7,67,59765,0.11%,5.09
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/blouson-casual-styles-c123,67,9078,0.74%,14.69
https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/green-t6,66,12521,0.53%,18.08
https://www.leathercompany.co.uk/gift-accessories-c8/wallets-c16/tan-t25,66,8947,0.74%,9.8
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/navy-t49,66,1824,3.62%,19.4
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/xs-t15,66,870,7.59%,5.45
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/3-4-styles-c100/mens-diamond-quilted-leather-coat-black-al-franco-p3302,65,8711,0.75%,13.89
https://www.leathercompany.co.uk/sale/handbags-c6/tan-t25,65,6587,0.99%,30.02
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/brampton-m25,65,2755,2.36%,6.38
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/womens-classic-suede-sheepskin-moccasin-slippers-light-grey-ladies-moccasins-p4053,63,56661,0.11%,26.26
https://www.leathercompany.co.uk/gift-accessories-c8/leather-aprons-c198,63,14889,0.42%,10.46
https://www.leathercompany.co.uk/mens-c4/accessories-c27/leather-gun-slip-cognac-savoy-p606,63,2300,2.74%,17.83
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/sheepskin-coat-tan-hektor-p807,62,17551,0.35%,14.41
https://www.leathercompany.co.uk/blog/girls-leather-jackets/,62,17162,0.36%,26.12
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/leather-shirt-black-alina-p496,62,16139,0.38%,20.21
https://www.leathercompany.co.uk/gift-accessories-c8/cleaning-products-c40,62,10248,0.6%,26.21
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-shirt-black-jonah-p494,61,17625,0.35%,18.3
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/ashwood-mens-single-gusset-heavy-duty-laptop-briefcase-mud-mud-henry-p635,61,8796,0.69%,26.19
https://www.leathercompany.co.uk/gift-accessories-c8/cleaning-products-c40/collonil-waterproofing-and-uv-protection-water-stop-spray-100ml-p2645,61,4248,1.44%,24.41
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/fenland-m10,61,893,6.83%,3.96
https://www.leathercompany.co.uk/ladies-c3/accessories-c24/gloves-c102/ashwood-m1,61,273,22.34%,3.17
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233,60,12367,0.49%,19.31
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/oxblood-t78,60,4646,1.29%,9.4
https://www.leathercompany.co.uk/handbags-c6/pink-t9,59,18736,0.31%,30.59
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/brown-t3,58,103979,0.06%,5.72
https://www.leathercompany.co.uk/gift-accessories-c8/womens-leather-belts-c208/womens-fashion-leather-belt-with-gold-metal-pin-buckle-tan-lb-303-p7222,58,27209,0.21%,20.87
https://www.leathercompany.co.uk/gift-accessories-c8/cleaning-products-c40/collonil-leather-dye-cream-red-shoe-cream-p2644,58,6984,0.83%,25.91
https://www.leathercompany.co.uk/gift-accessories-c8/mens-gloves-c37/touch-screen-friendly-leather-gloves-brown-821-p4421,58,5976,0.97%,15.82
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/classic-ladies-suede-sheepskin-slippers-chestnut-p3128,57,47641,0.12%,27.33
https://www.leathercompany.co.uk/ladies-c3/hooded-fox-fur-parka-with-detachable-raccoon-fur-trim-lining-black-braemar-p1440,57,21125,0.27%,25.92
https://www.leathercompany.co.uk/ladies-c3/leather-jacket-black-ddy-infinity-p81,57,11617,0.49%,11.26
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/monomoi-m52,57,1316,4.33%,4.01
https://www.leathercompany.co.uk/luggage-c7/trolleys-c33,56,10131,0.55%,8.56
https://www.leathercompany.co.uk/gift-accessories-c8/hats-c44,56,10116,0.55%,21.2
https://www.leathercompany.co.uk/luggage-c7/wash-toiletry-bags-c55/mens-leather-canvas-hanging-toiletry-bag-tan-crum-7010-p4425,55,43586,0.13%,20.26
https://www.leathercompany.co.uk/gift-accessories-c8/mens-gloves-c37/tan-t25,55,31367,0.18%,6.47
https://www.leathercompany.co.uk/ladies-c3/skirts-jeans-c74/skirts-dresses-c127/womens-leather-pencil-skirt-black-v2-knee-p3337,55,29911,0.18%,37.21
https://www.leathercompany.co.uk/mens-c4/footwear-c153/fenland-classic-mens-suede-sheepskin-slippers-brown-p3134,55,21981,0.25%,27.82
https://www.leathercompany.co.uk/ladies-c3/accessories-c24/gloves-c102/ashwood-suede-and-leather-gloves-black-130-p1634,55,6669,0.82%,19.15
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/long-length-sheepskin-coat-tan-sophia-p104,54,34656,0.16%,8.34
https://www.leathercompany.co.uk/ladies-c3/accessories-c24/key-rings-c103,54,9258,0.58%,34.8
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/tan-t25,54,8942,0.6%,12.77
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/lambskin-leather-and-sheepskin-lined-hooded-jacket-odin-p1355,54,7765,0.7%,10.23
https://www.leathercompany.co.uk/handbags-c6/the-bridge-c14/the-bridge-leather-golf-bag-in-brown-hide-078123-p925,54,5680,0.95%,12.5
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/mens-vintage-leather-messenger-bag-rust-7996-p678,53,37408,0.14%,19.82
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-biker-jacket-white-berlin-p874,53,25731,0.21%,12.6
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/black-t1,53,17232,0.31%,11.73
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/brown-t3,52,21152,0.25%,10.07
https://www.leathercompany.co.uk/luggage-c7/holdall-c15/large-leather-weekend-vintage-travel-bag-vintage-tan-oliver-p2933,52,9971,0.52%,27.67
https://www.leathercompany.co.uk/luggage-c7/backpacks-rucksacks-c52/black-t1,51,33940,0.15%,9.04
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-bomber-jacket-tan-danny-p950,51,24820,0.21%,18.54
https://www.leathercompany.co.uk/ladies-c3/brampton-m25/brown-t3,51,800,6.38%,5.63
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/mens-leather-sheepskin-gilet-whisky-cream-saxon-p3362,50,20466,0.24%,11.02
https://www.leathercompany.co.uk/ladies-c3/large-quilted-leather-zip-around-note-and-coin-purse-green-qlp-p5338,50,14731,0.34%,22.5
https://www.leathercompany.co.uk/mens-c4/trapper-m33,50,6165,0.81%,9.43
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/trapper-leather-jacket-cognac-massimo-p3356,50,3594,1.39%,9.79
https://www.leathercompany.co.uk/luggage-c7/holdall-c15/tan-t25,49,32074,0.15%,3.42
https://www.leathercompany.co.uk/ladies-c3/brampton-ladies-leather-longline-biker-jacket-black-llb-p5736,49,12727,0.39%,15.85
https://www.leathercompany.co.uk/ladies-c3/leather-trousers-brown-766-p1625,49,9211,0.53%,27.19
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/size-xl-t19,49,7279,0.67%,17.32
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/bordeaux-t56,49,4011,1.22%,6.55
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/briefcases-c112/brown-t3,49,3883,1.26%,11.12
https://www.leathercompany.co.uk/blog/leather-jackets-hollywood-history/,49,3695,1.33%,29.8
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/size-5xl-t29,48,8370,0.57%,6.99
https://www.leathercompany.co.uk/sheepskin-fur-c5/ladies-fur-coats-c76/fur-ponchos-c126,48,7107,0.68%,33.54
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/toiletry-bags-c117/ashwood-m1,48,4600,1.04%,15.66
https://www.leathercompany.co.uk/gift-accessories-c8/mens-gloves-c37/mens-leather-gloves-black-714-p179,47,106236,0.04%,13.74
