date,Campaign,Interactions,Costs,Clicks
2023-12-22,UK | Search | Ladies Leather Coat,19.0,17.22,19.0
2023-12-22,"UK | PMax | Luggage, Handbags, Purses",158.0,13.67,56.0
2023-12-22,UK | PMax | Zombie 6,51.0,8.94,15.0
2023-12-22,UK | PMax | Mens Leather Jackets > HP,104.0,8.24,44.0
2023-12-22,UK | PMax | Mens Sheepskin Footwear,11.0,5.53,9.0
2023-12-22,UK | PMax | Zombie 3,45.0,4.49,10.0
2023-12-22,UK | PMax | Deals for Him,10.0,3.99,10.0
2023-12-22,Store Solihull - DO NOT Touch,935.0,2.6,
2023-12-22,UK | PMax | Holdalls > HP,26.0,2.34,22.0
2023-12-22,UK | PMax | Ladies Sheepskin Jackets > HP,31.0,1.98,6.0
2023-12-22,UK | PMax | Ladies Leather Jackets > HP,90.0,0.49,
2023-12-21,UK | PMax | High ROAS 3.5>,1460.0,391.21,526.0
2023-12-21,UK | PMax | Catchall,1296.0,385.74,448.0
2023-12-21,UK | Leather > General,154.0,106.27,154.0
2023-12-21,"UK | PMax | Man Bags, Briefcases > HP",210.0,90.01,100.0
2023-12-21,UK | Leather Luggage | Broad,43.0,76.78,43.0
2023-12-21,IRE | PMax | Catchall,180.0,75.71,160.0
2023-12-21,UK | Leather Bag > Broad,94.0,69.77,94.0
2023-12-21,UK | PMax | Ladies Coats & Jackets > HP,369.0,65.52,68.0
2023-12-21,UK | PMax | Mens Edinburgh Leather Jacket,290.0,62.75,271.0
2023-12-21,UK | Search | Brand | tROAS,63.0,60.8,63.0
2023-12-21,UK | PMax | Low ROAS <3.5,107.0,58.9,93.0
2023-12-21,UK | PMax | Zombie 4,85.0,49.27,83.0
2023-12-21,"UK | PMax | Luggage, Handbags, Purses",453.0,38.26,141.0
2023-12-21,EU | PMax | Catchall,398.0,36.33,187.0
2023-12-21,UK | PMax | Zombie 1,143.0,29.91,54.0
2023-12-21,UK | PMax | Zombie 5,45.0,28.02,45.0
2023-12-21,UK | PMax | Zombie 2,41.0,27.58,37.0
2023-12-21,UK | PMax | Zombie 7,133.0,26.61,40.0
2023-12-21,UK | PMax | Zombie 6,164.0,25.52,54.0
