"Main Reference","Product Name",Brand,Attributes,"Product Reference","Product Model","Sale Price","Regular Price","RRP Price",Categories,"Num. Categories","Stock Message","Stock Level","Total Images","Product Specific Images","On Sale",Active,Discontinued,"Meta Title","Meta Keywords","Meta Description",Weight,"Friendly URL","Image Location"
00000407,"Leather Biker Jacket : Cronus Cognac/ddy",Ashwood,"Size: 4XL",0000040709,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-cognac-ddy-cronus-p52,https://www.leathercompany.co.uk/images/products/1447949250-44153800.jpg
00000407,"Leather Biker Jacket : Cronus Cognac/ddy",Ashwood,"Size: 5XL",0000040710,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-cognac-ddy-cronus-p52,https://www.leathercompany.co.uk/images/products/1447949250-44153800.jpg
00000407,"Leather Biker Jacket : Cronus Cognac/ddy",Ashwood,"Size: 6XL",0000040711,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-cognac-ddy-cronus-p52,https://www.leathercompany.co.uk/images/products/1447949250-44153800.jpg
00000407,"Leather Biker Jacket : Cronus Cognac/ddy",Ashwood,"Size: 7XL",0000040712,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-cognac-ddy-cronus-p52,https://www.leathercompany.co.uk/images/products/1447949250-44153800.jpg
00000407,"Leather Biker Jacket : Cronus Cognac/ddy",Ashwood,"Size: 8XL",0000040713,FO-DIESEL,155.000,155.000,0,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,N,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-biker-jacket-cognac-ddy-cronus-p52,https://www.leathercompany.co.uk/images/products/1447949250-44153800.jpg
00009565,"Hades Cognac/mad Leather Coat",Ashwood,"Size: XXXS",0000956500,HAIRING,129.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-cognac-mad-hades-p53,https://www.leathercompany.co.uk/images/products/1447949833-41421400.jpg
00009565,"Hades Cognac/mad Leather Coat",Ashwood,"Size: XXS",0000956501,HAIRING,129.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-cognac-mad-hades-p53,https://www.leathercompany.co.uk/images/products/1447949833-41421400.jpg
00009565,"Hades Cognac/mad Leather Coat",Ashwood,"Size: 6XL",0000956511,HAIRING,129.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-cognac-mad-hades-p53,https://www.leathercompany.co.uk/images/products/1447949833-41421400.jpg
00009565,"Hades Cognac/mad Leather Coat",Ashwood,"Size: 7XL",0000956512,HAIRING,129.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-cognac-mad-hades-p53,https://www.leathercompany.co.uk/images/products/1447949833-41421400.jpg
00009565,"Hades Cognac/mad Leather Coat",Ashwood,"Size: 8XL",0000956513,HAIRING,129.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-cognac-mad-hades-p53,https://www.leathercompany.co.uk/images/products/1447949833-41421400.jpg
