NumberType: GTIN-13,,,,,,,,,
Prefix: 506099970,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060999700188,Active,HARRY | BRIDGE/VT | Size:ONE SIZE,HARRY | BRIDGE/VT | Size:ONE SIZE | Medium Weekend Leather Holdall Bridge/vt : Harry,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/holdall-c15/medium-weekend-leather-holdall-bridge-vt-harry-p6468,N/A,0002448900,14/11/2022 13:22:52
5060999708269,Active,AWL-281 | BLACK | Size:12,AWL-281 | BLACK | Size:12 | Ashwood Leather Jacket Black: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-black-aliona-p5545,N/A,0004170103,14/07/2023 09:32:48
5060999708276,Active,AWL-281 | BLACK | Size:14,AWL-281 | BLACK | Size:14 | Ashwood Leather Jacket Black: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-black-aliona-p5545,N/A,0004170104,14/07/2023 09:33:38
5060999708283,Active,AWL-281 | BLACK | Size:16,AWL-281 | BLACK | Size:16 | Ashwood Leather Jacket Black: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-black-aliona-p5545,N/A,0004170105,14/07/2023 09:34:23
5060999708290,Active,AWL-281 | BLACK | Size:18,AWL-281 | BLACK | Size:18 | Ashwood Leather Jacket Black: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-black-aliona-p5545,N/A,0004170106,14/07/2023 09:35:14
5060999708306,Active,AWL-281 | BLACK | Size:20,AWL-281 | BLACK | Size:20 | Ashwood Leather Jacket Black: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-black-aliona-p5545,N/A,0004170107,14/07/2023 09:35:59
5060999708313,Active,AWL-281 | BLACK | Size:22,AWL-281 | BLACK | Size:22 | Ashwood Leather Jacket Black: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-black-aliona-p5545,N/A,0004170108,14/07/2023 09:36:49
5060999708320,Active,AWL-281 | BLACK | Size:24,AWL-281 | BLACK | Size:24 | Ashwood Leather Jacket Black: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-black-aliona-p5545,N/A,0004170109,14/07/2023 09:37:43
5060999708337,Active,AWL-281 | GREY | Size:8,AWL-281 | GREY | Size:8 | Ashwood Leather Jacket Grey: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-grey-aliona-p5546,N/A,0004171301,14/07/2023 10:05:17
5060999708344,Active,AWL-281 | GREY | Size:10,AWL-281 | GREY | Size:10 | Ashwood Leather Jacket Grey: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-grey-aliona-p5546,N/A,0004171302,14/07/2023 10:06:05
5060999708351,Active,AWL-281 | GREY | Size:12,AWL-281 | GREY | Size:12 | Ashwood Leather Jacket Grey: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-grey-aliona-p5546,N/A,0004171303,14/07/2023 10:06:52
