# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240131
# End date: 20240227
Landing page,Sessions,Users,New users,Engagement rate,Bounce rate,Average engagement time per session,Conversions,Total revenue
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175/s18977,168,153,130,0.7202380952380952,0.27976190476190477,65.42857142857143,4,215.8
/ladies-c3/leather-handbags-c10/large-leather-handbag-bridge-vt-gina-p1050/s5774,166,142,108,0.572289156626506,0.42771084337349397,19.873493975903614,0,0
/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-timber-vito-p3930/s14171,163,131,87,0.6319018404907976,0.36809815950920244,22.1840490797546,0,0
/gift-accessories-c8/purses-c36/large-purses-c96/vintage-woven-leather-zip-around-large-22-card-coin-note-purse-orange-d-84-p4307/s15028,162,149,127,0.5370370370370371,0.46296296296296297,26.65432098765432,0,0
/contact-us-i3,161,134,47,0.2422360248447205,0.7577639751552795,48.577639751552795,1,199
/ladies-c3/leather-handbags-c10/zip-top-leather-crossbody-bag-honey-t-89-p7527/s22055,161,134,103,0.5527950310559007,0.4472049689440994,60.32298136645963,0,0
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233/s1242,160,136,111,0.55,0.45,31.825,1,210
/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-timber-vito-p3930/s14175,158,137,103,0.620253164556962,0.379746835443038,30.626582278481013,0,0
/ladies-c3/14-card-rfid-protected-large-leather-purse-black-s1-p6703/s20033,156,127,92,0.5448717948717948,0.4551282051282051,32.60897435897436,3,114.94
/sheepskin-fur-c5/mens-sheepskin-jackets-c35/sheepskin-coat-whisky-denver-p1514/s7529,151,134,106,0.4370860927152318,0.5629139072847682,27.337748344370862,0,0
/luggage-c7/suit-carriers-c51/ashwood-leather-wheeled-suit-carrier-chestnut-89149-p6736/s20066,150,138,105,0.66,0.34,39.78,0,0
/luggage-c7/trolleys-c33/leather-wheeled-weekend-travel-holdall-oily-brown-adrian-p7180/s21479,150,136,122,0.6333333333333333,0.36666666666666664,33.553333333333335,0,0
/mens-c4/fenland-mens-nubuck-leather-jacket-brown-carter-p5769/s17772,150,113,90,0.62,0.38,31.313333333333333,0,0
/mens-c4/leather-jackets-c25/ashwood-m1,150,131,106,0.66,0.34,79.42,2,338.17
/sale/handbags-c6/ashwood-m1,148,139,112,0.8378378378378378,0.16216216216216217,115.95945945945945,3,164.9
/ladies-c3/14-card-rfid-protected-xl-leather-purse-black-s2-p6709/s20039,147,120,87,0.46938775510204084,0.5306122448979592,27.238095238095237,1,44.98
/mens-c4/leather-jackets-c25/biker-styles-c97/leather-biker-jacket-bordeaux-viking-p3117/s11203,146,114,95,0.5342465753424658,0.4657534246575342,21.73972602739726,0,0
/sheepskin-fur-c5/mens-sheepskin-jackets-c35,146,129,104,0.6027397260273972,0.3972602739726027,62.68493150684932,0,0
/handbags-c6/navy-t49,145,138,131,0.6344827586206897,0.36551724137931035,67.60689655172413,0,0
/mens-c4/mens-nappa-leather-detachable-double-collar-jacket-cognac-trap-ryan-p5801/s17960,144,116,87,0.4861111111111111,0.5138888888888888,29.680555555555557,0,0
/handbags-c6/ashwood-m1,140,125,93,0.6428571428571429,0.35714285714285715,131.17857142857142,0,0
/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-mid-brown-nap-britney-p3010/s10569,140,138,128,0.42142857142857143,0.5785714285714286,23.285714285714285,0,0
/ladies-c3/leather-three-section-cross-body-bag-black-croc-63789-croc-p6601/s19897,140,108,83,0.5,0.5,36.871428571428574,2,159.97
/ladies-c3/ashwood-a4-leather-book-cover-brandy-p6763/s20093,139,119,101,0.41007194244604317,0.5899280575539568,16.892086330935253,0,0
/luggage-c7/leather-tablet-a4-sleeves-c151,137,130,118,0.6423357664233577,0.35766423357664234,38.32116788321168,2,128.97
/size-guide-i9,137,125,109,0.5401459854014599,0.45985401459854014,44.24817518248175,0,0
