# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20231231
Landing page,Country,Sessions,Users,New users,Engagement rate,Average engagement time per session,Key events,Total revenue
/handbags-c6/ashwood-c30/small-vintage-leather-backpack-honey-g25-p3621/s13052,United Kingdom,1180,1071,919,0.6398305084745762,50.220338983050844,2,254
/ladies-c3/14-card-rfid-protected-large-leather-purse-mandarin-s1-p6705/s20035,United Kingdom,1169,1044,853,0.6680923866552609,43.75534644995723,19,812.88
/luggage-c7/wash-toiletry-bags-c55/leather-canvas-hanging-toiletry-bag-brown-tum-7010-p1588/s7648,United Kingdom,1162,1075,976,0.6351118760757315,37.00860585197935,33,1265.314989
/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-timber-vito-p3930/s14168,United Kingdom,1149,988,835,0.6414273281114012,44.81201044386423,4,427.99
/search/leather-jackets,United Kingdom,1149,1105,921,0.7284595300261096,89.55874673629243,9,1356.93
/ladies-c3/toscana-double-collar-suede-leather-gilet-taupe-pegasus-p5693/s17608,United Kingdom,1147,1051,859,0.5771578029642546,25.051438535309504,0,0
/ladies-c3/vintage-leather-cross-body-shoulder-bag-honey-g22-p3614/s13045,United Kingdom,1145,1002,816,0.645414847161572,56.365065502183405,12,790.37
/ladies-c3/womens-medium-leather-wallet-purse-poppy-red-s3-p6719/s20049,United Kingdom,1128,1004,850,0.5851063829787234,43.626773049645394,17,777.229065
/mens-c4/leather-jackets-c25/3-4-styles-c100,United Kingdom,1126,1019,844,0.6660746003552398,58.89076376554174,9,1905.99
/gift-accessories-c8/ladies-gloves-c38,United Kingdom,1123,1025,837,0.6776491540516474,70.51914514692787,31,1298.4
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1257,United Kingdom,1113,989,857,0.6684636118598383,52.03953279424977,10,1043
/ladies-c3/medium-weekend-leather-holdall-cognac-croc-harry-p6469/s19633,United Kingdom,1108,973,797,0.6678700361010831,56.02436823104693,5,690
/ladies-c3/ashwood-vintage-leather-trunk-tan-vin-22-p6089/s18673,United Kingdom,1104,1025,966,0.7518115942028986,61.727355072463766,0,0
/luggage-c7/trolleys-c33/leather-wheeled-weekend-travel-holdall-oily-brown-adrian-p7180/s21479,United Kingdom,1102,982,843,0.6352087114337568,33.66606170598911,5,999.95
/,Spain,1100,894,759,0.6572727272727272,90.73636363636363,10,998.46716
/mens-c4/man-bags-briefcases-c12/ashwood-luggage-mens-leather-flight-bag-brown-crum-8341-p317/s1820,United Kingdom,1095,957,774,0.6657534246575343,61.06575342465754,21,691.639197
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233,United Kingdom,1064,858,393,0.4473684210526316,72.14003759398496,20,2305.913497
/,France,1063,835,702,0.5578551269990593,66.86829727187207,9,1191.418886
/ladies-c3/ashwood-leather-crossbody-smart-phone-bag-cognac-m-77-p6984/s20733,United Kingdom,1058,920,805,0.5765595463137996,42.699432892249526,10,524.9
/ladies-c3/14-card-rfid-protected-large-leather-purse-poppy-red-s1-p6707/s20037,United Kingdom,1055,957,798,0.6360189573459716,34.519431279620854,14,567.22
/ladies-c3/14-card-rfid-protected-large-leather-purse-black-s1-p6703/s20033,United Kingdom,1052,936,782,0.6663498098859315,43.06083650190114,16,647.94
/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-leather-biker-jacket-navy-enya-p3967/s14369,United Kingdom,1052,971,836,0.7243346007604563,51.47338403041825,0,0
/,India,1044,932,853,0.539272030651341,36.53831417624521,0,0
/ladies-c3/leather-biker-jacket-navy-lola-p5468/s17047,United Kingdom,1039,983,858,0.6785370548604427,55.47449470644851,6,757.02
/ladies-c3/toscana-suede-leather-gilet-honey-kashmina-p6679/s19995,United Kingdom,1032,907,769,0.561046511627907,36.25387596899225,2,545.75
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-brn-cream-ivan-p1252/s6522,United Kingdom,1030,733,449,0.625242718446602,45.646601941747576,0,0
/mens-c4/sheepskin-jackets-c26,New Zealand,1026,900,882,0.6052631578947368,39.42007797270955,0,0
/mens-c4/man-bags-briefcases-c12/backpacks-c116,United Kingdom,1024,943,707,0.6767578125,85.3125,10,953.71
