Target page,Incoming links,Linking sites,Type
mens-c4/leather-jackets-c25/biker-styles-c97/mens-detachable-hood-leather-jacket-wash-red-regal-p7172,7,6,Product
mens-c4/trapper-men-s-leather-jacket-navy-samo-p6807,6,4,Product
sheepskin-fur-c5/ladies-fur-coats-c76/estimo-raccoon-and-rex-rabbit-cropped-sleeve-jacket-dark-brown-kisa-p1468,6,5,Product
mens-c4/leather-jackets-c25/biker-styles-c97/vegetable-tanned-leather-biker-jacket-tan-mcqueen-p2295,6,6,Product
mens-c4/leather-jackets-c25/leather-biker-jacket-tan-soltau-p239,6,6,Product
mens-c4/luxury-leather-belt-and-wallet-gift-set-tan-gs-1250-p6127,5,5,Product
home-living-c65/sheepskin-hot-water-bottle-cover-c168/natural-sheepskin-hot-water-bottle-cover-rosa-pink-hw-bottle-cover-p4131,5,4,Product
ladies-c3/ashwood-shearling-leather-and-suede-biker-gilet-black-suede-indiana-p1531,5,4,Product
luggage-c7/ashwood-x-large-leather-holdall-tan-brown-4556-p1070,5,2,Product
ladies-c3/sheepskin-jackets-c11/classic-style-c110/luxury-side-zip-sheepskin-pilot-biker-jacket-black-cirilla-p3767,5,5,Product
mens-c4/man-bags-briefcases-c12/mens-3-pocket-medium-leather-messenger-bag-tan-4552-p655,5,5,Product
ladies-c3/fur-poncho-baby-blue-sian-p6673,4,4,Product
mens-c4/leather-jackets-c25/biker-styles-c97/vegetable-tanned-leather-side-zip-biker-jacket-black-zeppelin-p2301,4,4,Product
mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-luan-p102,4,3,Product
mens-c4/leather-pilot-jacket-with-detachable-collar-cognac-justin-p6115,4,2,Product
handbags-c6/the-bridge-c14/the-bridge-leather-golf-bag-in-brown-hide-078123-p925,3,3,Product
mens-c4/man-bags-briefcases-c12/ashwood-mens-three-pocket-luxury-small-leather-flight-bag-tan-4551-p653,3,3,Product
handbags-c6/cross-body-bag-c87/vintage-small-leather-travel-shoulder-bag-honey-tan-g24-p3700,3,3,Product
mens-c4/man-bags-briefcases-c12/mens-leather-backpack-rucksack-chestnut-p330,3,3,Product
mens-c4/leather-jackets-c25/trapper-men-s-leather-biker-jacket-charcoal-edison-p6861,3,1,Product
ladies-c3/sheepskin-jackets-c11/long-reversible-sheepskin-suede-gillet-gypsy-feather-elixia-p886,3,3,Product
ladies-c3/leather-jackets-c9/biker-styles-c78/womens-detachable-hood-leather-biker-jacket-red-nirma-p7139,3,3,Product
ladies-c3/womens-luxury-shearling-jacket-brown-cream-alayna-p3379,3,1,Product
mens-c4/leather-jackets-c25/mens-quilted-leather-jacket-brown-m-14-p6870,3,2,Product
ladies-c3/mens-leather-backpack-black-gb-jordan-p6352,3,3,Product
