NumberType: GTIN-13,,,,,,,,,
Prefix: 506047452,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060474522588,Active,61410 | BLK/LEOPARD | Size:ONE SIZE,61410 | BLK/LEOPARD | Size:ONE SIZE | Natural Hair On Hide Medium Cross Body Bag  Blk– 61410,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/natural-hair-on-hide-medium-cross-body-bag-blk-61410-p8140,N/A,0003740000,23/09/2019 07:04:44
5060474526678,Active,G-32 | BLACK | Size:ONE SIZE,G-32 | BLACK | Size:ONE SIZE | Medium Vintage Wash Leather Travel Bag Black: G-32,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/medium-vintage-wash-leather-travel-bag-black-g-32-p3806,N/A,0003850700,06/03/2020 10:08:34
5060474526685,Active,G-32 | TAN | Size:ONE SIZE,G-32 | TAN | Size:ONE SIZE | Medium Vintage Wash Leather Travel Bag Tan: G-32,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/medium-vintage-wash-leather-travel-bag-tan-g-32-p3807,N/A,0003850800,06/03/2020 10:08:57
5060474526708,Active,G-33 | BLACK | Size:ONE SIZE,G-33 | BLACK | Size:ONE SIZE | Leather Vintage Medium Flight Shoulder Bag Black : G-33,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/leather-vintage-medium-flight-shoulder-bag-black-g-33-p3808,N/A,0003851000,06/03/2020 10:17:56
5060474526715,Active,G-33 | BRANDY | Size:ONE SIZE,G-33 | BRANDY | Size:ONE SIZE | Leather Vintage Medium Flight Shoulder Bag Brandy : G-33,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/leather-vintage-medium-flight-shoulder-bag-brandy-g-33-p3809,N/A,0003851100,06/03/2020 10:18:34
5060474526739,Active,G-34 | BLACK | Size:ONE SIZE,G-34 | BLACK | Size:ONE SIZE | Leather Vintage Laptop Work Bag  Black : G-34,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-vintage-laptop-work-bag-black-g-34-p3811,N/A,0003851300,06/03/2020 10:25:02
5060474526746,Active,G-34 | BRANDY | Size:ONE SIZE,G-34 | BRANDY | Size:ONE SIZE | Leather Vintage Laptop Work Bag  Brandy : G-34,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/leather-vintage-laptop-work-bag-brandy-g-34-p3812,N/A,0003851400,06/03/2020 10:28:23
5060474526760,Active,G-36 | BLACK | Size:ONE SIZE,G-36 | BLACK | Size:ONE SIZE | Large Leather Vintage Holdall Black : G-36,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/large-leather-vintage-holdall-black-g-36-p3817,N/A,0003851900,06/03/2020 10:31:30
5060474523516,Active,AW0022 | BLACK | Size:ONE SIZE,AW0022 | BLACK | Size:ONE SIZE | Ashwood Two Sections Shoulder Bag Black: AW0022,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/ashwood-two-sections-shoulder-bag-black-aw0022-p5309,N/A,0004130500,23/12/2019 14:57:10
5060474523509,Active,AW0022 | BURGANDY | Size:ONE SIZE,AW0022 | BURGANDY | Size:ONE SIZE | Ashwood Two Sections Shoulder Bag Burgundy: AW0022,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/ashwood-two-sections-shoulder-bag-burgundy-aw0022-p5310,N/A,0004130600,23/12/2019 14:55:01
5060474523493,Active,AW0022 | GREEN | Size:ONE SIZE,AW0022 | GREEN | Size:ONE SIZE | Ashwood Two Sections Shoulder Bag Green: AW0022,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/ashwood-two-sections-shoulder-bag-green-aw0022-p5311,N/A,0004130700,23/12/2019 14:53:04
5060474523547,Active,DOTTY | BLACK | Size:ONE SIZE,DOTTY | BLACK | Size:ONE SIZE | Ashwood Cambridge Style Saddlebag Black: Dotty,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/ashwood-cambridge-style-saddlebag-black-dotty-p5315,N/A,0004131900,23/12/2019 15:03:59
5060474523530,Active,DOTTY | RED | Size:ONE SIZE,DOTTY | RED | Size:ONE SIZE | Ashwood Cambridge Style Saddlebag Red: Dotty,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/ashwood-cambridge-style-saddlebag-red-dotty-p5317,N/A,0004132000,23/12/2019 15:01:39
5060474523523,Active,DOTTY | LT BLUE | Size:ONE SIZE,DOTTY | LT BLUE | Size:ONE SIZE | Ashwood Cambridge Style Saddlebag Lt Blue: Dotty,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/ashwood-cambridge-style-saddlebag-lt-blue-dotty-p5316,N/A,0004132100,23/12/2019 14:59:56
5060474522762,Active,61648 | BURGANDY | Size:ONE SIZE,61648 | BURGANDY | Size:ONE SIZE | Women's Medium Leather Shopper Bag Burgundy: 61648 Maisy,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-medium-leather-shopper-bag-burgundy-61648-maisy-p6109,N/A,0004320300,20/10/2019 04:09:40
5060474522571,Active,61410 | NAVY | Size:ONE SIZE,61410 | NAVY | Size:ONE SIZE | Natural Hair On Hide Medium Cross Body Bag Navy – 61410,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/natural-hair-on-hide-medium-cross-body-bag-navy-61410-p8804,N/A,0005077500,23/09/2019 06:59:50
