NumberType: GTIN-13,,,,,,,,,
Prefix: 506104960,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
"=""5061049600830""",Active,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 18,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 18,Ashwood leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-biscuit-awl-80-p8725,,,"=""29/02/2024 14:31:24"""
"=""5061049600847""",Active,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 20,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 20,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-biscuit-awl-80-p8725,,,"=""29/02/2024 14:32:05"""
"=""5061049600854""",Active,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 22,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 22,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-biscuit-awl-80-p8725,,,"=""29/02/2024 14:32:44"""
"=""5061049600861""",Active,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 24,Ladies Veg Tanned Leather Biker Jacket Biscuit: AWL-80 Size 24,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-biscuit-awl-80-p8725,,,"=""29/02/2024 14:33:23"""
"=""5061049600878""",Active,"AWL-2003: Size 8, Black - Ladies Biker Jacket","AWL-2003: Size 8, Black - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-black-awl-2003-p8130,,,"=""29/02/2024 16:34:28"""
"=""5061049600885""",Active,"AWL-2003: Size 10, Black - Ladies Biker Jacket","AWL-2003: Size 10, Black - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-black-awl-2003-p8130,,,"=""29/02/2024 16:35:16"""
"=""5061049600892""",Active,"AWL-2003: Size 12, Black - Ladies Biker Jacket","AWL-2003: Size 12, Black - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-black-awl-2003-p8130,,,"=""29/02/2024 16:35:54"""
"=""5061049600908""",Active,"AWL-2003: Size 14, Black - Ladies Biker Jacket","AWL-2003: Size 14, Black - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-black-awl-2003-p8130,,,"=""29/02/2024 16:36:32"""
"=""5061049600915""",Active,"AWL-2003: Size 16, Black - Ladies Biker Jacket","AWL-2003: Size 16, Black - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-black-awl-2003-p8130,,,"=""29/02/2024 16:37:14"""
"=""5061049600922""",Active,"AWL-2003: Size 18, Black - Ladies Biker Jacket","AWL-2003: Size 18, Black - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-black-awl-2003-p8130,,,"=""29/02/2024 16:37:55"""
