Landing page,Sessions,Views,Users,New users,Engagement rate,Average engagement time per session,Conversions,Total revenue,Views / Sessions
/mens-c4/leather-jackets-c25/leather-coat-nevada-timber-brontes-p252/s1448,81,259,75.0,55.0,76.54%,1m 03s,0.0,£0.00,3.197530864197531
/ladies-c3/skirts-jeans-c74/skirts-dresses-c127,80,207,70.0,57.0,67.50%,39s,0.0,£0.00,2.5875
/handbags-c6/ashwood-c30/large-vintage-leather-backpack-brandy-g28-p3629/s13060,79,161,62.0,45.0,50.63%,21s,1.0,£119.99,2.037974683544304
/ladies-c3/leather-handbags-c10/real-leather-saddle-crossbody-bag-2-tone-tan-63753-p7874/s23008,79,204,71.0,61.0,72.15%,42s,0.0,£0.00,2.5822784810126582
/handbags-c6/tote-bags-c85,78,235,71.0,50.0,53.85%,59s,0.0,£0.00,3.0128205128205128
/newsletter/unsubscribe,78,142,75.0,67.0,80.77%,6s,0.0,£0.00,1.8205128205128205
/ladies-c3/leather-jackets-c9/navy-t49,77,263,69.0,60.0,75.32%,56s,0.0,£0.00,3.4155844155844157
/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-timber-vito-p3930/s14171,77,161,54.0,35.0,66.23%,32s,0.0,£0.00,2.090909090909091
/mens-c4/leather-jackets-c25/leather-biker-jacket-white-berlin-p874/s4926,77,148,69.0,56.0,55.84%,41s,1.0,£179.00,1.922077922077922
/mens-c4/leather-jackets-c25/leather-bomber-jacket-black-danny-p948/s5241,77,185,59.0,46.0,58.44%,25s,0.0,£0.00,2.4025974025974026
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233/s1245,77,199,66.0,53.0,55.84%,31s,0.0,£0.00,2.5844155844155843
/ladies-c3/ashwood-three-pocket-leather-sling-bag-chestnut-tan-t-75-p6756/s20086,76,162,68.0,60.0,67.11%,38s,0.0,£0.00,2.1315789473684212
/ladies-c3/14-card-rfid-protected-large-leather-purse-mandarin-s1-p6705/s20035,75,255,70.0,61.0,58.67%,50s,0.0,£0.00,3.4
