Landing page,Sessions,Users,New users,Engagement rate,Average engagement time per session,Conversions,Total revenue
/mens-c4/leather-jackets-c25/bomber-styles-c99/mens-leather-bomber-jacket-tan-oscar-bomber-p7967,85,6,3,0.3176470588235294,8.905882352941177,0,0
/handbags-c6/ashwood-c30/vintage-leather-cross-body-shoulder-bag-brandy-g22-p3613/s13044,84,68,47,0.6309523809523809,40.416666666666664,2,107.98
/ladies-c3/ashwood-three-pocket-leather-sling-bag-honey-t-75-p6791/s20143,84,75,55,0.4523809523809524,21.726190476190474,0,0
/ladies-c3/leather-jackets-c9/beige-t70,84,80,72,0.7380952380952381,49.214285714285715,0,0
/mens-c4/leather-jackets-c25/size-5xl-t29,84,79,66,0.8333333333333334,132.71428571428572,2,497.55
/mens-c4/man-bags-briefcases-c12/ashwood-mens-3-pocket-luxury-small-leather-flight-bag-black-jack-p659/s4126,83,67,41,0.43373493975903615,27.927710843373493,1,69
/ladies-c3/ashwood-womens-long-handle-leather-shopper-bag-denim-62320-p6656/s19955,82,71,58,0.6585365853658537,30.414634146341463,0,0
/ladies-c3/14-card-rfid-protected-large-leather-purse-black-s1-p6703/s20033,81,68,48,0.5308641975308642,52.22222222222222,2,79.96
/mens-c4/leather-jackets-c25/leather-coat-nevada-timber-brontes-p252/s1448,81,75,55,0.7654320987654321,63.5679012345679,0,0
/ladies-c3/skirts-jeans-c74/skirts-dresses-c127,80,70,57,0.675,39.075,0,0
/handbags-c6/ashwood-c30/large-vintage-leather-backpack-brandy-g28-p3629/s13060,79,62,45,0.5063291139240507,21.253164556962027,1,119.99
/ladies-c3/leather-handbags-c10/real-leather-saddle-crossbody-bag-2-tone-tan-63753-p7874/s23008,79,71,61,0.7215189873417721,42.49367088607595,0,0
/handbags-c6/tote-bags-c85,78,71,50,0.5384615384615384,59.03846153846154,0,0
/newsletter/unsubscribe,78,75,67,0.8076923076923077,6.333333333333333,0,0
/ladies-c3/leather-jackets-c9/navy-t49,77,69,60,0.7532467532467533,56.83116883116883,0,0
/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-timber-vito-p3930/s14171,77,54,35,0.6623376623376623,32.935064935064936,0,0
/mens-c4/leather-jackets-c25/leather-biker-jacket-white-berlin-p874/s4926,77,69,56,0.5584415584415584,41.12987012987013,1,179
/mens-c4/leather-jackets-c25/leather-bomber-jacket-black-danny-p948/s5241,77,59,46,0.5844155844155844,25.181818181818183,0,0
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233/s1245,77,66,53,0.5584415584415584,31.064935064935064,0,0
/ladies-c3/ashwood-three-pocket-leather-sling-bag-chestnut-tan-t-75-p6756/s20086,76,68,60,0.6710526315789473,38.63157894736842,0,0
/ladies-c3/14-card-rfid-protected-large-leather-purse-mandarin-s1-p6705/s20035,75,70,61,0.5866666666666667,50.56,0,0
/handbags-c6/ashwood-c30/vegetable-tanned-leather-bag-black-v-22-p3830/s13911,74,48,29,0.44594594594594594,21.472972972972972,0,0
/ladies-c3/ashwood-single-australian-sheepskin-rug-ochre-p6301/s19172,74,70,57,0.6891891891891891,33.33783783783784,1,43.99
/gift-accessories-c8/ladies-gloves-c38,73,71,63,0.726027397260274,52.136986301369866,1,33.48
/ladies-c3/leather-jackets-c9/tan-t25,73,69,60,0.7534246575342466,62.93150684931507,0,0
/mens-c4/leather-jackets-c25/bugatti-m51,73,69,68,0.5342465753424658,21.123287671232877,0,0
/mens-c4/man-bags-briefcases-c12/washbags-c114/vintage-leather-luxury-wash-bag-with-tubular-mouth-opening-tan-seb-p2937/s10368,73,63,52,0.6438356164383562,58.41095890410959,4,207.94
/sheepskin-fur-c5/mens-sheepskin-jackets-c35/sheepskin-coat-whisky-denver-p1514/s7529,73,57,35,0.5068493150684932,18.013698630136986,0,0
/ladies-c3/ladies-waistcoats-c47/fitted-leather-gilet-with-faux-fur-collar-brown-snu-cumbria-p1627/s7753,72,63,54,0.3333333333333333,7.861111111111111,0,0
/mens-c4/leather-jackets-c25/leather-coat-nevada-timber-brontes-p252/s1451,72,60,39,0.5972222222222222,35.611111111111114,1,178.5
/brampton-m25,71,66,61,0.7746478873239436,48.74647887323944,1,89
/handbags-c6/ashwood-c30/vintage-leather-cross-body-shoulder-bag-black-g22-p3612/s13043,71,47,31,0.6197183098591549,36.985915492957744,0,0
/mens-c4/leather-jackets-c25/full-grain-leather-jacket-syh-jumbo-black-petros-p1281,71,69,60,0.7183098591549296,34.70422535211268,0,0
/mens-c4/leather-jackets-c25/leather-coat-nevada-timber-brontes-p252/s2409,71,60,38,0.5915492957746479,29.267605633802816,0,0
/luggage-c7/carry-on-case-c34,70,66,58,0.6428571428571429,44.32857142857143,0,0
/luggage-c7/holdall-c15/ashwood-m1,70,64,50,0.6285714285714286,75.45714285714286,0,0
/gift-accessories-c8/purses-c36/large-purses-c96/vintage-woven-leather-zip-around-large-22-card-coin-note-purse-taupe-d-84-p4309/s15030,69,62,49,0.43478260869565216,12.376811594202898,0,0
/ladies-c3/handbags-c10/tab-small-zip-top-leather-cross-body-bag-black-p189/s1034,69,53,38,0.6376811594202898,43.507246376811594,1,34.98
/handbags-c6/cross-body-bag-c87/ashwood-m1,68,65,51,0.7794117647058824,105.5,0,0
/mens-c4/leather-jackets-c25/blue-t2,68,62,55,0.75,59.14705882352941,2,653
/mens-c4/leather-jackets-c25/leather-jacket-nevada-timber-edinburgh-p235/s1272,68,56,38,0.5882352941176471,47.5735294117647,0,0
/about-us-i1,67,62,31,0.34328358208955223,138.7910447761194,0,0
/ladies-c3/ashwood-a4-leather-book-cover-brandy-p6763/s20093,67,61,50,0.4626865671641791,38.59701492537314,2,65.39
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-black-alaska-p881/s4991,67,67,64,0.13432835820895522,0.26865671641791045,0,0
/mens-c4/leather-jackets-c25/tan-t25,67,62,55,0.7164179104477612,60.8955223880597,1,299
/ladies-c3/toscana-suede-leather-gilet-honey-kashmina-p6679/s19995,66,62,52,0.5606060606060606,36.21212121212121,0,0
/mens-c4/leather-jackets-c25/leather-biker-jacket-white-berlin-p874/s4929,66,40,34,0.6818181818181818,43.42424242424242,1,152.15
/mens-c4/leather-jackets-c25/leather-bomber-jacket-black-danny-p948,66,65,56,0.18181818181818182,11.227272727272727,0,0
/handbags-c6/ashwood-three-section-leather-tote-shoulder-bag-green-z-73-p7004/s20753,65,48,39,0.7076923076923077,48.92307692307692,0,0
/ladies-c3/14-card-rfid-protected-xl-leather-purse-black-s2-p6709/s20039,65,55,42,0.5846153846153846,33.04615384615385,0,0
/ladies-c3/leather-handbags-c10/real-leather-tote-bag-black-63754-p7884/s23018,65,37,24,0.6,64.70769230769231,1,80
/luggage-c7/leather-tablet-a4-sleeves-c151/vegetable-tanned-leather-document-holder-chestnut-a4-sleeve-p3339/s12360,65,61,53,0.7384615384615385,47.07692307692308,0,0
/sheepskin-fur-c5/ashwood-lucky-sheep-mink-p6016/s18524,65,55,39,0.5538461538461539,15.76923076923077,0,0
/handbags-c6/cheltenham-croc-collection-c177,64,61,59,0.671875,30.53125,0,0
/ladies-c3/leather-jackets-c9/ladies-waterfall-front-leather-jacket-black-diva-p7747/s22740,64,52,41,0.53125,18.8125,0,0
/ladies-c3/sheepskin-jackets-c11/sheepskin-duffle-coat-tobacco-lynette-p880/s4988,64,56,43,0.546875,17.125,0,0
/gift-accessories-c8/purses-c36/medium-purses-c95/vintage-woven-leather-medium-18-card-purse-red-d-83-p4299/s15020,63,43,30,0.49206349206349204,20.73015873015873,1,34.98
/ladies-c3/purses-c22/14-card-rfid-protected-xl-leather-purse-two-tone-tan-s2-p6714/s20044,63,50,40,0.5714285714285714,15.079365079365079,0,0
/handbags-c6/cross-body-bag-c87/navy-t49,62,60,56,0.6774193548387096,35.11290322580645,1,34.98
/ladies-c3/sheepskin-jackets-c11/toscana-longhaired-shearling-jacket-with-large-hood-brown-muna-p853,62,62,59,0.06451612903225806,2.774193548387097,0,0
/mens-c4/leather-jackets-c25/leather-coat-black-brontes-p251/s13871,62,52,36,0.5645161290322581,39.064516129032256,0,0
/ladies-c3/leather-jackets-c9/blazer-styles-c79/womens-short-leather-blazer-jacket-black-ballina-p3272,61,18,9,0.3442622950819672,26.737704918032787,1,89
/mens-c4/leather-jackets-c25/biker-styles-c97/leather-biker-jacket-bordeaux-viking-p3117/s11203,61,42,35,0.6229508196721312,33.22950819672131,0,0
/mens-c4/leather-jackets-c25/leather-bomber-jacket-black-danny-p948/s5239,61,41,28,0.5573770491803278,30.065573770491802,0,0
/handbags-c6/ashwood-m1/green-t6,60,58,46,0.7833333333333333,81.68333333333334,0,0
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-brn-cream-ivan-p1252/s6522,60,34,18,0.6,29.8,0,0
/luggage-c7/backpacks-rucksacks-c52/tan-t25,59,57,56,0.423728813559322,26.728813559322035,0,0
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/ashwood-m1,59,50,41,0.5084745762711864,54.47457627118644,1,94.05
/sheepskin-fur-c5/ladies-fur-coats-c76/cropped-3-4-sleeve-mink-coat-brown-tiffany-p1397/s7010,59,42,37,0.288135593220339,7.830508474576271,0,0
/handbags-c6/ashwood-c30/small-vintage-leather-backpack-honey-g25-p3621/s13052,58,54,50,0.41379310344827586,40.63793103448276,0,0
/handbags-c6/cross-body-bag-c87/ashwood-leather-crossbody-bag-orange-cb-3-63014-p7228/s21580,58,55,52,0.6206896551724138,44.810344827586206,0,0
/ladies-c3/leather-biker-jacket-navy-lola-p5468/s17048,58,55,48,0.6724137931034483,53.12068965517241,0,0
/ladies-c3/leather-jackets-c9/blazer-styles-c79/womens-short-leather-blazer-jacket-black-ballina-p3272/s11852,58,51,44,0.7068965517241379,43.06896551724138,0,0
/ladies-c3/leather-jackets-c9/burgundy-t59,58,56,52,0.6551724137931034,43.63793103448276,0,0
/ladies-c3/sheepskin-jackets-c11/reversible-toscana-suede-leather-gilet-black-kashmina-p3075/s10949,58,58,58,0.034482758620689655,1.0517241379310345,0,0
/ladies-c3/toscana-double-collar-suede-leather-gilet-taupe-pegasus-p5693/s17608,58,50,38,0.5,31.25862068965517,1,53.99
/mens-c4/leather-jackets-c25/leather-jacket-nevada-timber-edinburgh-p235/s1274,58,51,38,0.6379310344827587,137.17241379310346,0,0
/mens-c4/man-bags-briefcases-c12/ashwood-m1,58,53,42,0.8620689655172413,188.05172413793105,1,94.05
/ladies-c3/fenland-womens-nubuck-leather-hooded-coat-brown-maisie-p5773,57,57,55,0,1.3859649122807018,0,0
/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-purple-casey-p7532/s22068,57,56,52,0.22807017543859648,9.614035087719298,0,0
/ladies-c3/leather-jackets-c9/green-t6,57,53,51,0.6491228070175439,23.473684210526315,0,0
/mens-c4/leather-jackets-c25/biker-styles-c97/vintage-leather-biker-jacket-blue-black-jaxon-p3014/s10595,57,45,39,0.6140350877192983,23.57894736842105,2,348
/mens-c4/leather-jackets-c25/black-t1,57,53,48,0.7017543859649122,45.14035087719298,0,0
/ladies-c3/ashwood-zip-top-leather-cross-body-bag-green-sb-buckle-p6041/s18600,56,5,2,0.8571428571428571,1.3571428571428572,0,0
