"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Parent Product Title","Child Product Title",
98,731,,"00007773","0000777305",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
98,732,,"00007773","0000777306",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
98,733,,"00007773","0000777307",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
98,734,,"00007773","0000777308",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
98,2606,,"00007773","0000777309",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
98,2607,,"00007773","0000777310",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
98,2608,,"00007773","0000777311",,"Long Length Sheepskin Coat Black : Sophia"," Long Length Sheepskin Coat Black - Sophia",
99,2609,,"00007749","0000774900",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
99,739,,"00007749","0000774901",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
99,740,,"00007749","0000774902",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
99,741,,"00007749","0000774903",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
99,742,,"00007749","0000774904",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
99,743,,"00007749","0000774905",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
99,744,,"00007749","0000774906",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
99,745,,"00007749","0000774907",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
99,746,,"00007749","0000774908",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
99,747,,"00007749","0000774909",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
99,2610,,"00007749","0000774910",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
99,2611,,"00007749","0000774911",,"Long Length Sheepskin Coat Brown : Sophia","Long Length Sheepskin Coat Brown - Sophia",
101,2636,,"00020546","0002054600",,"Sheepskin Flying Jacket Ginger : Leo ","Sheepskin Flying Jacket Ginger : Leo ",
101,6943,,"00020546","0002054602",,"Sheepskin Flying Jacket Ginger : Leo ","Sheepskin Flying Jacket Ginger : Leo ",
101,762,,"00020546","0002054603",,"Sheepskin Flying Jacket Ginger : Leo ","Sheepskin Flying Jacket Ginger : Leo ",
101,1961,,"00020546","0002054604",,"Sheepskin Flying Jacket Ginger : Leo ","Sheepskin Flying Jacket Ginger : Leo ",
101,763,,"00020546","0002054605",,"Sheepskin Flying Jacket Ginger : Leo ","Sheepskin Flying Jacket Ginger : Leo ",
101,764,,"00020546","0002054606",,"Sheepskin Flying Jacket Ginger : Leo ","Sheepskin Flying Jacket Ginger : Leo ",
101,765,,"00020546","0002054607",,"Sheepskin Flying Jacket Ginger : Leo ","Sheepskin Flying Jacket Ginger : Leo ",
101,766,,"00020546","0002054608",,"Sheepskin Flying Jacket Ginger : Leo ","Sheepskin Flying Jacket Ginger : Leo ",
101,767,,"00020546","0002054609",,"Sheepskin Flying Jacket Ginger : Leo ","Sheepskin Flying Jacket Ginger : Leo ",
101,13483,,"00020546","0002054610",,"Sheepskin Flying Jacket Ginger : Leo ","Sheepskin Flying Jacket Ginger : Leo ",
102,7223,,"00020373","0002037302",,"Sheepskin Flying Jacket Ginger : Luan","Sheepskin Flying Jacket Ginger : Luan",
102,768,,"00020373","0002037303",,"Sheepskin Flying Jacket Ginger : Luan","Sheepskin Flying Jacket Ginger : Luan",
102,769,,"00020373","0002037304",,"Sheepskin Flying Jacket Ginger : Luan","Sheepskin Flying Jacket Ginger : Luan",
102,770,,"00020373","0002037305",,"Sheepskin Flying Jacket Ginger : Luan","Sheepskin Flying Jacket Ginger : Luan",
102,771,,"00020373","0002037306",,"Sheepskin Flying Jacket Ginger : Luan","Sheepskin Flying Jacket Ginger : Luan",
102,772,,"00020373","0002037307",,"Sheepskin Flying Jacket Ginger : Luan","Sheepskin Flying Jacket Ginger : Luan",
102,773,,"00020373","0002037308",,"Sheepskin Flying Jacket Ginger : Luan","Sheepskin Flying Jacket Ginger : Luan",
102,774,,"00020373","0002037309",,"Sheepskin Flying Jacket Ginger : Luan","Sheepskin Flying Jacket Ginger : Luan",
102,14770,,"00020373","0002037310",,"Sheepskin Flying Jacket Ginger : Luan","Sheepskin Flying Jacket Ginger : Luan",
104,2615,,"00007737","0000773700",,"Long Length Sheepskin Coat Tan : Sophia","Long Length Sheepskin Coat Tan - Sophia",
104,790,,"00007737","0000773701",,"Long Length Sheepskin Coat Tan : Sophia","Long Length Sheepskin Coat Tan - Sophia",
104,791,,"00007737","0000773702",,"Long Length Sheepskin Coat Tan : Sophia","Long Length Sheepskin Coat Tan - Sophia",
104,792,,"00007737","0000773703",,"Long Length Sheepskin Coat Tan : Sophia","Long Length Sheepskin Coat Tan - Sophia",
104,793,,"00007737","0000773704",,"Long Length Sheepskin Coat Tan : Sophia","Long Length Sheepskin Coat Tan - Sophia",
104,794,,"00007737","0000773705",,"Long Length Sheepskin Coat Tan : Sophia","Long Length Sheepskin Coat Tan - Sophia",
