Top pages,Clicks,Impressions,CTR,Position
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/monomoi-m52,141,2540,5.55%,10.48
https://www.leathercompany.co.uk/fenland-m10,140,4497,3.11%,8.36
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/brown-t3,138,20230,0.68%,13
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-earmuffs-c186/fenland-m10,137,14501,0.94%,32.57
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/john-partridge-m37,135,61942,0.22%,5.29
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/grey-t7,135,17069,0.79%,14.9
https://www.leathercompany.co.uk/gabicci-m55,135,4726,2.86%,11.39
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/purple-t10,133,189177,0.07%,8.35
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/size-xxl-t20,133,12620,1.05%,18.02
https://www.leathercompany.co.uk/sale/ladies-c3/leather-jackets-c9/size-18-t35,131,8680,1.51%,16.49
https://www.leathercompany.co.uk/ladies-c3/size-20-t36,131,7801,1.68%,10.01
https://www.leathercompany.co.uk/mens-c4/mens-waistcoats-c58/four-pocket-sleeveless-leather-biker-jacket-black-crusader-p976,130,35033,0.37%,10
https://www.leathercompany.co.uk/mens-c4/mens-fashion-cowhide-leather-jacket-black-rocco-p4136,129,8797,1.47%,17.58
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/tan-t25,128,155507,0.08%,5.6
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-hooded-bomber-jacket-black-addison-p943,128,96545,0.13%,19.07
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/medium-purses-c95,128,18129,0.71%,21.87
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/brampton-m25,128,8633,1.48%,6.09
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/sheepskin-duffle-black-magnus-p1009,127,43123,0.29%,14.66
https://www.leathercompany.co.uk/handbags-c6/cheltenham-croc-collection-c177/ashwood-m1,126,3986,3.16%,9.48
https://www.leathercompany.co.uk/mens-c4/trapper-mens-nappa-leather-jacket-black-jason-p5794,124,27822,0.45%,7.54
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-gloves-c28/ashwood-m1,123,7929,1.55%,25.9
https://www.leathercompany.co.uk/gift-accessories-c8/mens-leather-belts-c50/xxl-t20,121,14548,0.83%,27.47
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/green-t6,120,12749,0.94%,13.26
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/long-length-gothic-coat-black-black-zelda-p1241,119,25008,0.48%,14.53
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/blue-t2,118,20265,0.58%,18.1
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/ashwood-m1,116,161059,0.07%,5.43
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/the-bridge-m7,115,71487,0.16%,5.85
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78,114,226499,0.05%,13.2
https://www.leathercompany.co.uk/mens-c4/fur-parkas-c73,114,55359,0.21%,51.9
https://www.leathercompany.co.uk/ladies-c3/fur-coats-c77,114,14736,0.77%,18.92
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/ashwood-m1,112,117498,0.1%,6.37
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/3-4-styles-c100/mens-diamond-quilted-leather-coat-black-al-franco-p3302,111,17800,0.62%,16.01
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/trapper-m33/size-l-t18,109,5872,1.86%,6.2
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/navy-t49,108,8665,1.25%,10.83
https://www.leathercompany.co.uk/black-friday-c164,108,4728,2.28%,18.47
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/mens-vintage-leather-messenger-bag-rust-7996-p678,107,72940,0.15%,19.5
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-biker-jacket-white-berlin-p874,107,59042,0.18%,10.52
https://www.leathercompany.co.uk/sheepskin-fur-c5/ashwood-m1,107,6318,1.69%,10.02
https://www.leathercompany.co.uk/ladies-c3/purses-c22/tan-t25,105,11835,0.89%,20.52
https://www.leathercompany.co.uk/mens-c4/classic-russian-style-sheepskin-hat-tobacco-vladimir-p4399,104,96861,0.11%,5.49
https://www.leathercompany.co.uk/handbags-c6/pink-t9,104,36101,0.29%,37.33
https://www.leathercompany.co.uk/blog/girls-leather-jackets/,104,30828,0.34%,38.14
https://www.leathercompany.co.uk/gift-accessories-c8/cleaning-products-c40,104,14376,0.72%,33.9
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/grey-t7,99,101027,0.1%,5.82
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/womens-classic-suede-sheepskin-slippers-pink-fen-ladies-p4040,99,54936,0.18%,23.7
https://www.leathercompany.co.uk/ladies-c3/leather-jacket-black-ddy-infinity-p81,99,15673,0.63%,11
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/trapper-m33/brown-t3,96,8865,1.08%,5.83
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-shirt-black-jonah-p494,93,34451,0.27%,21.3
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/xxl-t20,93,6601,1.41%,16.92
https://www.leathercompany.co.uk/sheepskin-fur-c5/mens-sheepskin-jackets-c35/classic-sheepskin-coat-brown-churchill-p3082,91,48152,0.19%,10.67
https://www.leathercompany.co.uk/handbags-c6/tote-bags-c85,91,43380,0.21%,40.16
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/size-xl-t19,89,10196,0.87%,12.33
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/bordeaux-t56,89,6437,1.38%,7.88
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/purple-t10,89,5761,1.54%,15.44
https://www.leathercompany.co.uk/marta-ponti-m38,89,2086,4.27%,9.98
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97/vegetable-tanned-leather-biker-jacket-tan-mcqueen-p2295,88,11449,0.77%,8.2
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/small-purses-c94,87,28983,0.3%,37.31
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233,87,16636,0.52%,14.77
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/oxblood-t78,87,4775,1.82%,8.88
https://www.leathercompany.co.uk/mens-c4/mens-touch-screen-friendly-leather-gloves-black-775-p4436,86,8706,0.99%,19.13
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/womens-classic-suede-sheepskin-slippers-purple-fen-ladies-p4042,85,34303,0.25%,24.3
https://www.leathercompany.co.uk/ladies-c3/brampton-ladies-leather-longline-biker-jacket-black-llb-p5736,85,27819,0.31%,12.48
https://www.leathercompany.co.uk/handbags-c6/the-bridge-c14/the-bridge-leather-golf-bag-in-brown-hide-078123-p925,85,11555,0.74%,11.47
https://www.leathercompany.co.uk/ladies-c3/ashwood-m1,85,3811,2.23%,13.9
https://www.leathercompany.co.uk/luggage-c7/holdall-c15/mens-large-leather-weekend-holdall-chestnut-vt-charles-p918,84,108125,0.08%,15.35
https://www.leathercompany.co.uk/gift-accessories-c8/wallets-c16/tan-t25,84,10329,0.81%,11.14
https://www.leathercompany.co.uk/luggage-c7/holdall-c15/large-leather-weekend-vintage-travel-bag-vintage-tan-oliver-p2933,82,29594,0.28%,26.4
https://www.leathercompany.co.uk/mens-c4/leather-detachable-hood-puffer-jacket-cognac-nello-p6539,82,19521,0.42%,11.75
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/mens-leather-g-1-flight-bomber-jacket-cream-coffee-maverick-p6783,82,13637,0.6%,21.16
https://www.leathercompany.co.uk/ladies-c3/handbags-c10/ashwood-m1/brown-t3,82,8716,0.94%,19.56
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/navy-t49,82,4681,1.75%,19.32
https://www.leathercompany.co.uk/luggage-c7/leather-weekend-holdall-brown-tum-gladstone-p340,82,4333,1.89%,25.11
https://www.leathercompany.co.uk/handbags-c6/marta-ponti-c54,82,2697,3.04%,19.32
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/fenland-m10,82,1470,5.58%,3.5
https://www.leathercompany.co.uk/ladies-c3/three-section-a4-patent-leather-work-bag-black-a4-work-bag-p5235,81,44476,0.18%,20.13
https://www.leathercompany.co.uk/gift-accessories-c8/cleaning-products-c40/collonil-waterstop-waterproofing-spray-p231,81,9955,0.81%,20.43
https://www.leathercompany.co.uk/trapper-m33,80,9253,0.86%,33.24
