Number,Product,PLU,On Fashione
5060821281205,G-25 BLACK,0003798900,No
5060821281311,G-28 HONEY,0003809500,No
5060474526647,G-31 BLACK,0003850400,No
5060474526654,G-31 BRANDY,0003850500,No
5060821281359,G-35 BLACK,0003851600,No
5060821281366,G-35 BRANDY,0003851700,No
5060474526777,G-36 BRANDY,0003852000,No
5060821280239,G-37 BRANDY,0003852300,No
5060821281496,V-23 CHESTNUT,0003856500,No
5060821281656,V-28 NAVY,0003857900,No
5060821283179,V-61 BLACK,0003858100,No
5060821283193,V-61 NAVY,0003858200,No
5060821283186,V-61 CHESTNUT,0003858300,No
5060821283209,V-62 BLACK,0003858400,No
5060821283223,V-62 NAVY,0003858500,No
5060821283216,V-62 CHESTNUT,0003858600,No
5060821283230,V-63 BLACK,0003858700,No
5060821283254,V-63 NAVY,0003858800,No
5060821283247,V-63 CHESTNUT,0003858900,No
5060474524988,M-61 BLACK,0003906400,No
5060474524995,M-61 COGNAC,0003906500,No
5060474525022,M-62 BLACK,0003906600,No
5060474525015,M-62 COGNAC,0003906700,No
5060474525046,M-63 BLACK,0003906800,No
5060474525039,M-63 COGNAC,0003906900,No
5060474525060,M-64 BLACK,0003907000,No
5060474525053,M-64 COGNAC,0003907100,No
5060474525084,M-65 BLACK,0003907200,No
5060474525077,M-65 COGNAC,0003907300,No
5060474525107,M-66 BLACK,0003907400,No
5060474525091,M-66 COGNAC,0003907500,No
5060474525121,M-67 BLACK,0003907600,No
5060474525114,M-67 COGNAC,0003907700,No
5060474525145,M-68 BLACK,0003907800,No
5060474525138,M-68 COGNAC,0003907900,No
5060474525169,M-69 BLACK,0003908000,No
5060474525152,M-69 COGNAC,0003908100,No
5060474525008,M-60 BLACK,0003908200,No
5060474524971,M-60 COGNAC,0003908300,No
5060474524803,M-51 BLACK,0003908400,No
5060474524797,M-51 COGNAC,0003908500,No
5060474524827,M-52 BLACK,0003908600,No
5060474524810,M-52 COGNAC,0003908700,No
5060474524841,M-53 BLACK,0003908800,No
5060474524834,M-53 COGNAC,0003908900,No
5060474524865,M-54 BLACK,0003909000,No
5060474524858,M-54 COGNAC,0003909100,No
5060474524889,M-55 BLACK,0003909200,No
5060474524872,M-55 COGNAC,0003909300,No
5060474524902,M-56 BLACK,0003909400,No
5060474524896,M-56 COGNAC,0003909500,No
5060474524926,M-57 BLACK,0003909600,No
5060474524919,M-57 COGNAC,0003909700,No
5060474524940,M-58 BLACK,0003909800,No
5060474524933,M-58 COGNAC,0003909900,No
5060474524964,M-59 BLACK,0003910000,No
5060474524957,M-59 COGNAC,0003910100,No
5060821283087,G-41 BLACK,0003934700,No
5060821283094,G-41 BRANDY,0003934900,No
5060821283117,G-42 BLACK,0003935000,No
5060821283124,G-42 BRANDY,0003935200,No
5060821283148,G-43 BLACK,0003935300,No
5060821283155,G-43 BRANDY,0003935500,No
5060999700959,A5 BOOK COVER COPPER BROWN,0004025800,No
5060999700966,A6 BOOK COVER COPPER BROWN,0004025900,No
5060474527064,5994 COPPER BROWN,0004026000,No
5060474527040,5991 COPPER BROWN,0004026100,No
5060474527071,5995 COPPER BROWN,0004026200,No
5060474527057,5993 COPPER BROWN,0004026300,No
5060474527088,5996 COPPER BROWN,0004026400,No
5060474529358,D-70 COGNAC,0004029600,No
5060474529365,D-70 TAUPE,0004029800,No
5060474529372,D-70 NAVY,0004029900,No
5060474529389,D-70 RED,0004030000,No
5060474529396,D-70 YELLOW,0004030100,No
5060474529402,D-70 ORANGE,0004030200,No
5060474529419,D-70 GREEN,0004030300,No
5060474529440,D-71 COGNAC,0004030600,No
5060474529457,D-71 TAUPE,0004030700,No
